編號	案類	發生(現)日期	發生時段
657	住宅竊盜	1050102	19~21
658	住宅竊盜	1050103	13~15
659	住宅竊盜	1050103	16~18
660	住宅竊盜	1050103	19~21
661	住宅竊盜	1050104	07~09
662	住宅竊盜	1050104	19~21
663	住宅竊盜	1050104	22~24
664	住宅竊盜	1050105	13~15
665	住宅竊盜	1050106	01~03
666	住宅竊盜	1050106	10~12
667	住宅竊盜	1050107	13~15
668	住宅竊盜	1050107	16~18
669	住宅竊盜	1050107	19~21
670	住宅竊盜	1050108	22~24
671	住宅竊盜	1050109	22~24
672	住宅竊盜	1050110	04~06
673	住宅竊盜	1050110	07~09
674	住宅竊盜	1050110	16~18
675	住宅竊盜	1050110	19~21
676	住宅竊盜	1050111	16~18
677	住宅竊盜	1050111	16~18
678	住宅竊盜	1050111	19~21
679	住宅竊盜	1050112	07~09
680	住宅竊盜	1050113	04~06
681	住宅竊盜	1050113	10~12
682	住宅竊盜	1050113	16~18
683	住宅竊盜	1050113	22~24
684	住宅竊盜	1050114	10~12
685	住宅竊盜	1050114	22~24
686	住宅竊盜	1050115	07~09
687	住宅竊盜	1050115	10~12
688	住宅竊盜	1050116	10~12
689	住宅竊盜	1050116	16~18
690	住宅竊盜	1050117	13~15
691	住宅竊盜	1050118	19~21
692	住宅竊盜	1050119	01~03
693	住宅竊盜	1050119	13~15
694	住宅竊盜	1050119	16~18
695	住宅竊盜	1050120	07~09
696	住宅竊盜	1050120	10~12
697	住宅竊盜	1050121	13~15
698	住宅竊盜	1050122	16~18
699	住宅竊盜	1050122	22~24
700	住宅竊盜	1050123	07~09
701	住宅竊盜	1050124	13~15
702	住宅竊盜	1050124	19~21
703	住宅竊盜	1050125	07~09
704	住宅竊盜	1050125	10~12
705	住宅竊盜	1050125	10~12
706	住宅竊盜	1050125	10~12
707	住宅竊盜	1050126	07~09
708	住宅竊盜	1050126	16~18
709	住宅竊盜	1050127	13~15
710	住宅竊盜	1050128	13~15
711	住宅竊盜	1050128	19~21
712	住宅竊盜	1050129	04~06
713	住宅竊盜	1050129	13~15
714	住宅竊盜	1050129	16~18
715	住宅竊盜	1050129	22~24
716	住宅竊盜	1050130	10~12
717	住宅竊盜	1050130	22~24
718	住宅竊盜	1050131	10~12
719	住宅竊盜	1050131	22~24
720	住宅竊盜	1050201	19~21
721	住宅竊盜	1050202	19~21
722	住宅竊盜	1050203	04~06
723	住宅竊盜	1050203	07~09
724	住宅竊盜	1050203	10~12
725	住宅竊盜	1050203	19~21
726	住宅竊盜	1050204	13~15
727	住宅竊盜	1050205	07~09
728	住宅竊盜	1050205	16~18
729	住宅竊盜	1050207	07~09
730	住宅竊盜	1050207	16~18
731	住宅竊盜	1050208	19~21
732	住宅竊盜	1050209	10~12
733	住宅竊盜	1050209	22~24
734	住宅竊盜	1050210	07~09
735	住宅竊盜	1050210	07~09
736	住宅竊盜	1050210	13~15
737	住宅竊盜	1050210	19~21
738	住宅竊盜	1050211	10~12
739	住宅竊盜	1050212	01~03
740	住宅竊盜	1050212	16~18
741	住宅竊盜	1050213	19~21
742	住宅竊盜	1050214	19~21
743	住宅竊盜	1050217	01~03
744	住宅竊盜	1050217	10~12
745	住宅竊盜	1050217	16~18
746	住宅竊盜	1050218	01~03
747	住宅竊盜	1050218	01~03
748	住宅竊盜	1050219	13~15
749	住宅竊盜	1050219	16~18
750	住宅竊盜	1050220	01~03
751	住宅竊盜	1050220	07~09
752	住宅竊盜	1050220	19~21
